line_description,unit_of_measure,price_per_unit,qty_item,total
"Regular Meter Delivery - Treated",AF,$1145.00,2496.30,$2858263.50
"Regular Meter Delivery - Untreated",AF,$855.00,13970.50,$11944777.50
